Time,State,Emotion,Yaw,Pitch,Roll
20.50s,Attentive,sad,6,8,2
20.72s,Attentive,happy,14,12,9
20.84s,Attentive,happy,24,9,7
20.94s,Attentive,happy,23,8,6
21.05s,Attentive,neutral,25,6,8
21.15s,Attentive,happy,25,2,10
21.26s,Attentive,neutral,24,4,9
21.36s,Attentive,neutral,14,11,8
21.47s,Attentive,happy,21,1,8
21.57s,Attentive,happy,18,2,4
21.68s,Attentive,neutral,14,4,7
21.78s,Attentive,neutral,8,6,5
21.89s,Attentive,neutral,4,6,2
21.99s,Attentive,neutral,4,5,1
22.10s,Attentive,neutral,2,6,1
22.21s,Attentive,neutral,2,6,0
22.31s,Attentive,neutral,0,7,0
22.41s,Attentive,neutral,2,8,0
22.52s,Attentive,neutral,5,7,0
22.62s,Attentive,neutral,3,8,0
22.73s,Attentive,neutral,5,6,0
22.83s,Attentive,neutral,6,5,0
22.94s,Attentive,neutral,8,3,0
23.05s,Attentive,neutral,6,2,0
23.15s,Attentive,neutral,2,2,0
23.26s,Attentive,neutral,3,1,0
23.36s,Attentive,neutral,2,2,0
23.47s,Attentive,neutral,7,0,1
23.58s,Attentive,neutral,1,1,1
23.68s,Attentive,neutral,3,3,1
23.79s,Attentive,neutral,5,2,2
23.89s,Attentive,neutral,8,1,2
24.00s,Attentive,neutral,8,2,2
24.10s,Attentive,neutral,5,3,1
24.23s,Attentive,neutral,3,3,2
24.39s,Attentive,neutral,7,5,2
24.51s,Attentive,neutral,6,5,2
24.62s,Attentive,neutral,5,5,2
24.72s,Attentive,neutral,3,4,2
24.84s,Attentive,neutral,5,7,2
24.95s,Attentive,neutral,7,8,1
25.05s,Attentive,neutral,7,8,2
25.16s,Attentive,neutral,5,7,2
25.26s,Attentive,neutral,6,7,2
25.37s,Not Attentive,neutral,4,7,2
25.47s,Not Attentive,neutral,6,8,2
25.58s,Attentive,neutral,4,6,2
25.68s,Attentive,neutral,9,8,2
25.79s,Attentive,neutral,11,8,3
25.89s,Attentive,neutral,12,3,3
26.00s,Attentive,neutral,20,7,6
26.10s,Not Attentive,neutral,27,1,0
26.21s,Not Attentive,neutral,27,7,5
26.46s,Attentive,neutral,23,3,6
26.57s,Attentive,neutral,24,9,4
26.67s,Attentive,happy,12,11,6
26.79s,Attentive,happy,14,7,8
26.90s,Attentive,neutral,13,8,7
27.00s,Attentive,neutral,8,1,2
27.11s,Attentive,neutral,3,4,3
27.21s,Attentive,neutral,3,8,1
27.32s,Attentive,neutral,1,7,1
27.44s,Attentive,neutral,-3,8,1
27.58s,Attentive,neutral,-5,6,0
27.72s,Attentive,neutral,-6,7,-1
27.92s,Attentive,neutral,-8,9,-1
28.06s,Attentive,neutral,-7,12,-2
