Time,State,Emotion,Yaw,Pitch,Roll
5.93s,Attentive,neutral,-10,10,-4
6.00s,Attentive,neutral,-11,11,-4
6.07s,Attentive,neutral,-13,12,-4
6.14s,Attentive,neutral,-9,13,-3
6.21s,Attentive,neutral,-9,13,-3
6.27s,Attentive,neutral,-8,12,-3
6.34s,Attentive,neutral,-10,12,-4
6.41s,Attentive,neutral,-10,12,-4
6.48s,Attentive,neutral,-8,13,-3
6.55s,Attentive,neutral,-6,13,-2
6.62s,Attentive,neutral,-6,13,-2
6.69s,Attentive,neutral,-8,12,-3
6.75s,Attentive,neutral,-7,13,-3
6.84s,Attentive,neutral,-7,13,-2
6.91s,Attentive,neutral,-7,13,-2
6.98s,Attentive,neutral,-7,13,-3
7.04s,Attentive,neutral,-6,12,-2
7.12s,Attentive,neutral,-6,12,-2
7.19s,Attentive,neutral,-6,13,-3
7.25s,Attentive,neutral,-9,13,-3
7.36s,Attentive,neutral,-7,13,-3
7.43s,Attentive,neutral,-7,13,-3
7.50s,Attentive,neutral,-7,13,-2
7.56s,Attentive,neutral,-5,13,-2
7.67s,Attentive,neutral,-8,12,-2
7.74s,Attentive,neutral,-8,12,-2
7.80s,Attentive,neutral,-6,12,-2
7.88s,Attentive,neutral,-7,12,-2
7.95s,Attentive,neutral,-6,13,-2
8.05s,Attentive,neutral,-6,14,-2
8.11s,Attentive,neutral,-6,14,-2
8.18s,Attentive,neutral,-4,14,-1
8.25s,Attentive,neutral,-6,13,-2
8.35s,Attentive,neutral,-6,14,-1
8.42s,Attentive,neutral,-6,14,-1
8.49s,Attentive,neutral,-7,13,-2
8.56s,Attentive,neutral,-4,14,-1
8.65s,Not Attentive,neutral,-5,13,-2
8.72s,Not Attentive,neutral,-5,13,-2
8.79s,Attentive,neutral,-6,13,-2
8.87s,Attentive,neutral,-5,13,-1
8.95s,Attentive,neutral,-4,15,-1
9.02s,Attentive,neutral,-4,15,-1
9.10s,Attentive,neutral,-7,13,-2
9.17s,Attentive,neutral,-4,14,-1
9.26s,Attentive,neutral,-6,14,-1
9.33s,Attentive,neutral,-6,14,-1
9.40s,Attentive,neutral,-5,14,-1
9.47s,Attentive,neutral,-5,14,-1
9.54s,Attentive,neutral,-2,14,-1
9.61s,Attentive,neutral,-2,14,-1
9.68s,Attentive,neutral,-5,13,-1
9.75s,Attentive,neutral,-6,12,-2
9.85s,Attentive,neutral,-6,13,-2
9.92s,Attentive,neutral,-6,13,-2
9.98s,Attentive,neutral,-6,13,-1
10.05s,Attentive,neutral,-5,13,-1
10.12s,Attentive,neutral,-5,13,-1
10.19s,Attentive,neutral,-5,13,-1
10.26s,Attentive,neutral,-6,13,-2
10.37s,Attentive,neutral,-5,13,-1
10.44s,Attentive,neutral,-5,13,-1
10.50s,Attentive,neutral,-6,13,-1
10.57s,Attentive,neutral,-4,14,0
10.65s,Attentive,neutral,-3,13,-1
10.72s,Attentive,neutral,-3,13,-1
10.79s,Attentive,neutral,-4,14,-1
10.86s,Attentive,neutral,-1,13,0
10.95s,Attentive,neutral,-4,13,-1
11.03s,Attentive,neutral,-4,13,-1
11.09s,Not Attentive,neutral,-4,14,-1
11.16s,Not Attentive,neutral,-3,14,-1
11.26s,Attentive,neutral,-4,13,-1
11.33s,Attentive,neutral,-4,13,-1
11.39s,Attentive,neutral,-4,14,-1
11.46s,Attentive,neutral,-3,14,0
11.57s,Attentive,neutral,-3,13,0
